@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute thumb numeric
@attribute index numeric
@attribute middle numeric
@attribute ring numeric
@attribute pinky numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2020/05/08 16:19:59:749',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
2,'2020/05/08 16:19:59:765',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
3,'2020/05/08 16:19:59:781',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
4,'2020/05/08 16:19:59:797',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
5,'2020/05/08 16:19:59:817',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
6,'2020/05/08 16:19:59:833',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
7,'2020/05/08 16:19:59:851',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
8,'2020/05/08 16:19:59:865',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
9,'2020/05/08 16:19:59:881',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
10,'2020/05/08 16:19:59:897',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
11,'2020/05/08 16:19:59:917',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
12,'2020/05/08 16:19:59:933',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
13,'2020/05/08 16:19:59:949',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
14,'2020/05/08 16:19:59:965',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
15,'2020/05/08 16:19:59:981',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
16,'2020/05/08 16:19:59:997',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
17,'2020/05/08 16:20:00:019',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
