@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute gestureStart numeric
@attribute gestureEnd numeric
@attribute normal numeric

@data
1,'2020/05/08 16:32:48:323',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
2,'2020/05/08 16:32:48:339',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
3,'2020/05/08 16:32:48:355',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
4,'2020/05/08 16:32:48:376',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
5,'2020/05/08 16:32:48:391',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
6,'2020/05/08 16:32:48:407',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
7,'2020/05/08 16:32:48:423',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
8,'2020/05/08 16:32:48:439',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
9,'2020/05/08 16:32:48:455',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
10,'2020/05/08 16:32:48:475',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
11,'2020/05/08 16:32:48:491',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
12,'2020/05/08 16:32:48:508',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
13,'2020/05/08 16:32:48:523',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
14,'2020/05/08 16:32:48:540',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
15,'2020/05/08 16:32:48:555',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
16,'2020/05/08 16:32:48:575',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
17,'2020/05/08 16:32:48:591',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
18,'2020/05/08 16:32:48:607',1,69.809135,92.560074,98.814026,92.40419,86.356766,0,0,1
19,'2020/05/08 16:32:48:676',1,81.543755,94.283226,98.392242,92.085266,86.545532,0,0,1
20,'2020/05/08 16:32:48:692',1,81.546066,94.282188,98.389114,92.083145,86.542999,0,0,1
21,'2020/05/08 16:32:48:698',1,81.547081,94.28186,98.38903,92.082695,86.541862,0,0,1
22,'2020/05/08 16:32:48:703',1,81.547081,94.28186,98.38903,92.082695,86.541862,0,0,1
23,'2020/05/08 16:32:48:707',1,81.55407,94.281776,98.388062,92.082169,86.540497,0,0,1
24,'2020/05/08 16:32:48:713',1,81.55407,94.281776,98.388062,92.082169,86.540497,0,0,1
25,'2020/05/08 16:32:48:723',1,81.554535,94.281647,98.387672,92.081863,86.539268,0,0,1
26,'2020/05/08 16:32:48:739',1,81.571739,94.281281,98.389328,92.083839,86.536346,0,0,1
27,'2020/05/08 16:32:48:758',1,81.572838,94.281242,98.392967,92.086197,86.535645,0,0,1
28,'2020/05/08 16:32:48:776',1,81.597122,94.282471,98.392937,92.091629,86.5354,0,0,1
29,'2020/05/08 16:32:48:791',1,81.598404,94.283272,98.39756,92.103912,86.536575,0,0,1
30,'2020/05/08 16:32:48:808',1,81.598534,94.285957,98.398666,92.104774,86.537628,0,0,1
31,'2020/05/08 16:32:48:823',1,81.59417,94.292854,98.400215,92.108757,86.539719,0,0,1
32,'2020/05/08 16:32:48:839',1,81.594841,94.295654,98.401665,92.113853,86.541252,0,0,1
33,'2020/05/08 16:32:48:856',1,81.595566,94.299255,98.401604,92.122902,86.542465,0,0,1
34,'2020/05/08 16:32:48:876',1,81.599091,94.311531,98.409248,92.153275,86.555069,0,0,1
35,'2020/05/08 16:32:48:891',1,81.605186,94.313316,98.412445,92.158951,86.561256,0,0,1
36,'2020/05/08 16:32:48:908',1,81.611671,94.324333,98.425522,92.165047,86.575012,0,0,1
37,'2020/05/08 16:32:48:923',1,81.642609,94.335678,98.430855,92.170784,86.586052,0,0,1
38,'2020/05/08 16:32:48:939',1,81.65831,94.347519,98.433952,92.177643,86.589561,0,0,1
39,'2020/05/08 16:32:48:955',1,81.686646,94.373123,98.444122,92.187805,86.600388,0,0,1
40,'2020/05/08 16:32:48:976',1,81.696724,94.394653,98.468124,92.190575,86.606148,0,0,1
41,'2020/05/08 16:32:48:991',1,81.694305,94.416412,98.495514,92.194862,86.610893,0,0,1
42,'2020/05/08 16:32:49:008',1,81.690056,94.430786,98.505333,92.195381,86.612907,0,0,1
43,'2020/05/08 16:32:49:023',1,81.667282,94.474007,98.544456,92.208282,86.617828,0,0,1
44,'2020/05/08 16:32:49:039',1,81.642197,94.510895,98.5784,92.230957,86.625809,0,0,1
45,'2020/05/08 16:32:49:055',1,81.621323,94.537453,98.598259,92.242439,86.627449,0,0,1
46,'2020/05/08 16:32:49:076',1,81.591133,94.616112,98.672874,92.280952,86.642365,0,0,1
47,'2020/05/08 16:32:49:093',1,81.576355,94.650467,98.699234,92.296234,86.646332,0,0,1
48,'2020/05/08 16:32:49:107',1,81.528709,94.722115,98.748886,92.323608,86.650612,0,0,1
49,'2020/05/08 16:32:49:123',1,81.503883,94.772713,98.78862,92.353699,86.66391,0,0,1
50,'2020/05/08 16:32:49:140',1,81.489395,94.789429,98.805107,92.370628,86.671394,0,0,1
51,'2020/05/08 16:32:49:160',1,81.442238,94.843163,98.845642,92.407127,86.685234,0,0,1
52,'2020/05/08 16:32:49:179',1,81.384285,94.885727,98.865623,92.42617,86.692276,0,0,1
53,'2020/05/08 16:32:49:191',1,81.379433,94.901459,98.870735,92.428497,86.694374,0,0,1
54,'2020/05/08 16:32:49:207',1,81.373886,94.924309,98.899239,92.44326,86.696953,0,0,1
55,'2020/05/08 16:32:49:223',1,81.368805,94.939743,98.91143,92.446419,86.697617,0,0,1
56,'2020/05/08 16:32:49:239',1,81.31945,94.953003,98.922783,92.455719,86.698875,0,0,1
57,'2020/05/08 16:32:49:263',1,81.308022,94.967148,98.926704,92.479523,86.709953,0,0,1
58,'2020/05/08 16:32:49:279',1,81.344978,94.981918,98.928268,92.488663,86.715469,0,0,1
59,'2020/05/08 16:32:49:291',1,81.54628,95.079796,98.932594,92.514328,86.695503,0,0,1
60,'2020/05/08 16:32:49:307',1,81.818604,95.178825,98.934647,92.527794,86.642677,0,0,1
61,'2020/05/08 16:32:49:329',1,82.816605,95.481972,98.938057,92.577538,86.46566,0,0,1
62,'2020/05/08 16:32:49:339',1,83.868057,95.801323,98.914665,92.521751,86.142097,0,0,1
63,'2020/05/08 16:32:49:359',1,84.267197,95.939087,98.882111,92.487679,85.968094,0,0,1
64,'2020/05/08 16:32:49:376',1,84.959717,96.182045,98.763077,92.465141,85.559158,0,0,1
65,'2020/05/08 16:32:49:391',1,85.039375,96.244217,98.731941,92.467499,85.478577,0,0,1
66,'2020/05/08 16:32:49:407',1,85.158234,96.405815,98.656296,92.476387,85.380867,0,0,1
67,'2020/05/08 16:32:49:423',1,85.188057,96.519897,98.619698,92.517082,85.35968,0,0,1
68,'2020/05/08 16:32:49:444',1,85.225754,96.590317,98.612076,92.568657,85.391342,0,0,1
69,'2020/05/08 16:32:49:460',1,85.204605,96.619392,98.614525,92.595383,85.406487,0,0,1
70,'2020/05/08 16:32:49:476',1,85.010895,96.652222,98.632446,92.647324,85.460281,0,0,1
71,'2020/05/08 16:32:49:491',1,84.778801,96.603668,98.65062,92.747063,85.56147,0,0,1
72,'2020/05/08 16:32:49:507',1,84.652657,96.575867,98.662773,92.814034,85.617226,0,0,1
73,'2020/05/08 16:32:49:523',1,84.44059,96.530754,98.692123,92.967812,85.775276,0,0,1
74,'2020/05/08 16:32:49:539',1,84.44059,96.530754,98.692123,92.967812,85.775276,0,0,1
75,'2020/05/08 16:32:49:555',1,84.228394,96.471626,98.728355,93.093864,86.034111,0,0,1
76,'2020/05/08 16:32:49:576',1,84.083191,96.429634,98.768616,93.210442,86.262436,0,0,1
77,'2020/05/08 16:32:49:591',1,84.017632,96.405457,98.798439,93.266258,86.3797,0,0,1
78,'2020/05/08 16:32:49:607',1,83.910858,96.380127,98.855202,93.367897,86.623619,0,0,1
